JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,15/06/2024,0:40:34,W,W,Overcast,30,34,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,0:29:55,E,N,Overcast,30,15,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:06:27,E,E,Overcast,30,16,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,0:11:28,W,N,Overcast,30,18,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:37:28,E,E,Overcast,30,4,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:46:48,N,N,Overcast,30,33,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:35:37,W,W,Overcast,30,12,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,0:13:09,W,N,Overcast,30,34,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:56:49,W,S,Overcast,30,10,Van,FALSE
Hanley Highway/Westway,15/06/2024,0:21:20,SW,SW,Overcast,20,15,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,0:28:19,NE,NW,Overcast,20,21,Car,TRUE
Hanley Highway/Westway,15/06/2024,0:54:34,SE,SW,Overcast,20,27,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,0:59:31,SW,SW,Overcast,20,27,Car,TRUE
Hanley Highway/Westway,15/06/2024,0:02:04,SW,SW,Overcast,20,14,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,0:21:24,SW,SE,Overcast,20,11,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,0:28:34,SW,NW,Overcast,20,5,Car,FALSE
Hanley Highway/Westway,15/06/2024,0:58:38,SW,SW,Overcast,20,11,Van,FALSE
Hanley Highway/Westway,15/06/2024,0:42:23,NW,SE,Overcast,20,18,Buss,FALSE
Hanley Highway/Westway,15/06/2024,0:12:06,SW,SW,Overcast,20,2,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,0:25:00,SW,SE,Overcast,20,1,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,0:06:09,SW,SW,Overcast,20,15,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:01:23,E,N,Overcast,30,21,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:40:02,S,S,Overcast,30,26,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:52:27,W,N,Overcast,30,11,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:54:43,E,E,Overcast,30,28,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:09:05,E,N,Overcast,30,10,Motorcycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,1:53:36,S,S,Overcast,30,31,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:38:29,W,N,Overcast,30,14,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:52:30,S,S,Overcast,30,27,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:18:00,N,N,Overcast,30,6,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:20:10,S,E,Overcast,30,15,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,1:48:11,SW,SE,Overcast,20,21,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:33:14,NW,SE,Overcast,20,27,Van,TRUE
Hanley Highway/Westway,15/06/2024,1:16:48,SW,SW,Overcast,20,14,Buss,TRUE
Hanley Highway/Westway,15/06/2024,1:30:30,SW,NW,Overcast,20,17,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:09:07,SE,SW,Overcast,20,22,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:21:35,SE,SE,Overcast,20,16,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:15:40,SW,SW,Overcast,20,18,Van,FALSE
Hanley Highway/Westway,15/06/2024,1:48:23,SW,NW,Overcast,20,3,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,1:02:16,SW,SE,Overcast,20,18,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,1:33:05,NE,NE,Overcast,20,17,Van,TRUE
Hanley Highway/Westway,15/06/2024,1:56:15,NW,SW,Overcast,20,19,Car,TRUE
Hanley Highway/Westway,15/06/2024,1:14:38,NW,SE,Overcast,20,10,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,1:47:39,NW,NW,Overcast,20,8,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,1:51:16,SW,SW,Overcast,20,8,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:50:32,S,W,Overcast,30,19,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:39:30,W,W,Overcast,30,29,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:34:42,S,E,Overcast,30,27,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:21:14,S,S,Overcast,30,18,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:10:58,E,E,Overcast,30,32,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:04:24,W,W,Overcast,30,23,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:15:29,N,W,Overcast,30,8,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:49:56,N,N,Overcast,30,10,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:21:18,W,S,Overcast,30,15,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:03:48,E,N,Overcast,30,12,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:11:26,W,N,Overcast,30,20,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:43:39,E,E,Overcast,30,6,Car,FALSE
Hanley Highway/Westway,15/06/2024,2:35:53,NE,NE,Overcast,20,26,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:19:37,NW,NW,Overcast,20,23,Car,TRUE
Hanley Highway/Westway,15/06/2024,2:22:18,NW,SW,Overcast,20,23,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:56:47,SW,NW,Overcast,20,16,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,2:02:03,NW,NW,Overcast,20,10,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,2:50:34,SW,NW,Overcast,20,12,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:04:28,NW,NW,Overcast,20,2,Car,FALSE
Hanley Highway/Westway,15/06/2024,2:57:15,NW,NW,Overcast,20,27,Car,TRUE
Hanley Highway/Westway,15/06/2024,2:29:43,SW,SW,Overcast,20,10,Van,FALSE
Hanley Highway/Westway,15/06/2024,2:19:32,SE,SE,Overcast,20,22,Van,TRUE
Hanley Highway/Westway,15/06/2024,2:45:45,SW,SE,Overcast,20,4,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,2:19:07,SW,SW,Overcast,20,4,Car,FALSE
Hanley Highway/Westway,15/06/2024,2:50:26,SE,NE,Overcast,20,2,Buss,FALSE
Hanley Highway/Westway,15/06/2024,2:50:14,NE,NW,Overcast,20,1,Car,TRUE
Hanley Highway/Westway,15/06/2024,2:57:23,SE,NE,Overcast,20,5,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:59:00,NE,NE,Overcast,20,12,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:15:18,S,W,Clear,30,14,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:45:45,E,S,Clear,30,9,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:50:38,W,S,Clear,30,11,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:58:36,E,S,Clear,30,2,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:17:08,S,W,Clear,30,12,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:11:23,N,W,Clear,30,29,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:58:34,S,S,Clear,30,28,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:20:35,S,W,Clear,30,32,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:57:08,S,W,Clear,30,14,Buss,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:29:25,W,N,Clear,30,33,Buss,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:34:53,W,S,Clear,30,13,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:17:53,N,W,Clear,30,1,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:13:18,S,E,Clear,30,10,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:06:06,S,E,Clear,30,18,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:49:35,S,S,Clear,30,32,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:04:09,S,S,Clear,30,15,Van,FALSE
Hanley Highway/Westway,15/06/2024,3:29:37,SW,SW,Clear,20,17,Van,FALSE
